Score	q-val	Members
1.0	1.5734722222222224	STIM2	KRAS
1.0	1.5626206896551724	ANKRD13A	KRAS
1.0	1.5519178082191782	TNS1	RIPK1
1.0	1.5413605442176872	ATP9A	ATP11A
1.0	1.530945945945946	SMARCA1	KRAS
1.0	1.5206711409395974	RNF20	KRAS
1.0	1.5105333333333335	ANKFY1	TP53
1.0	1.5005298013245034	FBXO10	PLK1
1.0	1.4906578947368423	IFIH1	KRAS
1.0	1.4809150326797387	STK10	TP53
1.0	1.4712987012987013	NAPB	KRAS
1.0	1.4618064516129032	ABCA1	PLXNA3
1.0	1.4524358974358975	NHS	TP53
1.0	1.4431847133757962	FBXW7	CDH11
1.0	1.4340506329113925	PTK2	KRAS
1.0	1.4250314465408807	TCERG1	PRKCA
1.0	1.416125	ANGPTL2	TP53
1.0	1.4073291925465838	TRAF5	TP53
1.0	1.398641975308642	SLC30A9	KRAS
1.0	1.3900613496932517	AXIN1	TP53
1.0	1.3815853658536585	B4GALT5	KRAS
1.0	1.3732121212121213	MUC2	TP53
1.0	1.3649397590361447	GABRE	KRAS
1.0	1.3567664670658683	CFLAR	CDH11
1.0	1.3486904761904763	SMCHD1	TP53
1.0	1.3407100591715977	MYO1B	KRAS
1.0	1.3328235294117647	LPP	KRAS
1.0	1.325029239766082	EPHX1	APC
1.0	1.3173255813953488	ATAD5	TP53
1.0	1.3097109826589597	HEATR1	TP53
1.0	1.3021839080459772	ABCB1	TP53
1.0	1.2947428571428572	DOCK6	TP53
1.0	1.2873863636363636	UIMC1	KRAS
1.0	1.2801129943502825	MPRIP	CDH11
1.0	1.272921348314607	DDX58	TP53
1.0	1.2658100558659218	TBC1D24	KRAS
1.0	1.2587777777777778	PLK1	TP53
1.0	1.2518232044198896	PLCG2	TP53
1.0	1.244945054945055	ITGA7	PRKCA
1.0	1.2381420765027322	DNMT1	CDH11
1.0	1.2314130434782609	ANTXR2	TP53
1.0	1.2247567567567568	WDR1	KRAS
1.0	1.2181720430107528	PLEKHA2	TP53
1.0	1.2116577540106952	HDAC7	KRAS
1.0	1.205212765957447	OSBP	TP53
1.0	1.1988359788359788	SEC24B	DACT1
1.0	1.1925263157894737	CYP2S1	TP53
1.0	1.186282722513089	DSTN	TP53
1.0	1.1801041666666667	KIF2C	GNA11
1.0	1.1739896373056995	RHOA	TP53
1.0	1.167938144329897	CDK12	TP53
1.0	1.161948717948718	DLG3	TP53
1.0	1.1560204081632655	RANBP2	KRAS
1.0	1.1501522842639595	PRKCA	KRAS
1.0	1.1443434343434344	REV1	TP53
1.0	1.1385929648241206	ZNF91	TP53
1.0	1.1329	CD3EAP	USP7
1.0	1.1272636815920398	PPM1D	KRAS
1.0	1.1216831683168318	RIF1	KRAS
