Score	q-val	Members
1.0	1.8773267326732674	TET2	MAX
1.0	1.8589215686274512	HDAC2	RUNX1
1.0	1.840873786407767	CCDC150	NRF1
1.0	1.823173076923077	HIVEP2	ETS2
1.0	1.805809523809524	WRB	NRF1
1.0	1.7887735849056605	PHF6	GATA2
1.0	1.7720560747663552	KCNJ15	MYB
1.0	1.7556481481481483	ZBTB33	ETS2
1.0	1.73954128440367	ELF1	CEBPA
1.0	1.7237272727272728	KDM6A	CEBPA
1.0	1.7081981981981984	HPS5	MAX
1.0	1.6929464285714286	ELF4	TP53
1.0	1.6779646017699117	E2F8	MAX
1.0	1.6632456140350877	ARHGAP18	RUNX1
1.0	1.6487826086956523	SENP7	NRF1
1.0	1.6345689655172415	MMP25	CEBPA
1.0	1.6205982905982907	YBX2	NF1
1.0	1.6068644067796611	IMMP2L	NF1
1.0	1.5933613445378152	CDC42	RUNX1
1.0	1.5800833333333335	SLC24A4	CEBPA
1.0	1.5670247933884298	RPS3A	RPL32
1.0	1.5541803278688526	LRRFIP1	RUNX1
1.0	1.5415447154471547	TUBA1A	CEBPA
1.0	1.5291129032258066	DOCK10	ARAP2
1.0	1.51688	MYB	RUNX1
1.0	1.5048412698412699	CNTLN	CEBPA
1.0	1.492992125984252	ATF7IP	RUNX1
1.0	1.481328125	RBBP4	CEBPA
1.0	1.4698449612403102	ARHGEF1	RUNX1
1.0	1.4585384615384616	ARHGEF5	NRAS
1.0	1.4474045801526718	ZNF687	NF1
1.0	1.436439393939394	PRPF3	NRF1
1.0	1.425639097744361	SPEN	RUNX1
1.0	1.415	KIDINS220	PTPN11
1.0	1.4045185185185187	ARHGEF11	RUNX1
1.0	1.3941911764705883	ARL3	MAX
1.0	1.3840145985401462	ACVR2B	RUNX1
1.0	1.373985507246377	PDCL3	NRF1
1.0	1.3641007194244605	KLHL18	TCF4
1.0	1.354357142857143	KLHL12	MAX
1.0	1.3447517730496454	RAB11FIP1	NF1
1.0	1.335281690140845	MECR	TP53
1.0	1.325944055944056	PDCD2L	NRF1
1.0	1.316736111111111	CTSG	RUNX1
1.0	1.3076551724137933	PMPCB	NF1
1.0	1.2986986301369865	USP6	CEBPA
1.0	1.2898639455782315	POLR2E	MAX
1.0	1.2811486486486487	USP9X	CEBPA
1.0	1.27255033557047	SCML2	MAX
1.0	1.2640666666666667	HCFC1	EZH2
1.0	1.2556953642384108	HK1	CEBPA
1.0	1.2474342105263159	NUP93	CEBPA
1.0	1.2392810457516341	POLR2A	MAX
1.0	1.2312337662337662	UBE2R2	RUNX1
1.0	1.2232903225806453	SHQ1	GATA2
1.0	1.2154487179487181	SUMO2	CEBPA
1.0	1.2077070063694268	TFAM	TP53
1.0	1.2000632911392406	EZR	TP53
1.0	1.1925157232704404	MEFV	ETS2
1.0	1.1850625000000001	RPL32	RPS3A
1.0	1.1777018633540373	LARS	CEBPA
1.0	1.1704320987654322	BUB1	CEBPA
1.0	1.1632515337423315	TBC1D4	CEBPA
1.0	1.156158536585366	WAC	NRF1
1.0	1.1491515151515153	HSPA4	MAX
1.0	1.1422289156626506	WIPF1	ETS2
1.0	1.1353892215568864	ETV6	CEBPA
1.0	1.1286309523809526	USP34	CEBPA
1.0	1.1219526627218936	BUB3	CEBPA
1.0	1.1153529411764707	ETV3	NF1
1.0	1.1088304093567252	ZBTB7B	ETS2
1.0	1.1023837209302327	CENPN	CEBPA
1.0	1.0960115606936418	PTPRE	CEBPA
1.0	1.089712643678161	PDS5B	CEBPA
1.0	1.0834857142857144	HCLS1	ETS2
1.0	1.0773295454545455	CBL	RUNX1
1.0	1.0712429378531074	AFF4	NF1
1.0	1.0652247191011237	SMC5	NRF1
1.0	1.0592737430167598	AFF2	CEBPA
1.0	1.053388888888889	GDPD5	NF1
1.0	1.0475690607734807	TMEM55A	TP53
1.0	1.0418131868131868	NAE1	MAX
1.0	1.036120218579235	SON	NRF1
1.0	1.0304891304347827	DUSP1	NRAS
1.0	1.024918918918919	AMOT	GATA2
1.0	1.0194086021505377	LTA4H	RUNX1
1.0	1.0139572192513369	TMTC2	NRF1
1.0	1.0085638297872341	MPL	RUNX1
1.0	1.0032275132275132	SETD2	TCF4
1.0	0.9979473684210527	MBTPS1	RUNX1
