Score	q-val	Members
1.0	1.8315384615384618	PLXNA3	KRAS
1.0	1.8188194444444445	AP1G2	TP53
1.0	1.8062758620689656	GNA11	KRAS
1.0	1.7939041095890413	XPO4	TP53
1.0	1.781700680272109	ZNF451	RNF6
1.0	1.7696621621621624	MMP7	TP53
1.0	1.757785234899329	TSPAN6	KRAS
1.0	1.7460666666666669	TNFSF13	KRAS
1.0	1.7345033112582784	CNOT1	FOXO4
1.0	1.723092105263158	TNFSF12	TP53
1.0	1.7118300653594773	FOXO4	TP53
1.0	1.7007142857142858	MTHFD1L	APC
1.0	1.6897419354838712	LNX1	KRAS
1.0	1.6789102564102565	DAB2	KRAS
1.0	1.6682165605095542	UNC5B	KRAS
1.0	1.6576582278481014	PACSIN2	TP53
1.0	1.647232704402516	ANK3	KRAS
1.0	1.6369375000000002	CSF3R	KRAS
1.0	1.6267701863354038	SAMD4A	KRAS
1.0	1.6167283950617286	TRIM41	TP53
1.0	1.6068098159509203	STIM2	KRAS
1.0	1.5970121951219514	ANKRD13A	KRAS
1.0	1.5873333333333335	TNS1	RIPK1
1.0	1.5777710843373496	ATP9A	ATP11A
1.0	1.5683233532934133	SMARCA1	KRAS
1.0	1.5589880952380955	RNF20	KRAS
1.0	1.5497633136094675	ANKFY1	TP53
1.0	1.5406470588235295	FBXO10	PLK1
1.0	1.531637426900585	FGD2	TP53
1.0	1.522732558139535	IFIH1	KRAS
1.0	1.5139306358381504	STK10	TP53
1.0	1.5052298850574715	TRRAP	TP53
1.0	1.4966285714285716	NAPB	KRAS
1.0	1.4881250000000001	ABCA1	PLXNA3
1.0	1.479717514124294	NHS	TP53
1.0	1.4714044943820226	FBXW7	CDH11
1.0	1.4631843575418997	PTK2	KRAS
1.0	1.4550555555555558	TCERG1	PRKCA
1.0	1.4470165745856356	ANGPTL2	TP53
1.0	1.4390659340659342	TRAF5	TP53
1.0	1.4312021857923498	SLC30A9	KRAS
1.0	1.4234239130434785	AXIN1	TP53
1.0	1.4157297297297298	B4GALT5	TP53
1.0	1.4081182795698926	MUC2	TP53
1.0	1.4005882352941177	GABRE	KRAS
1.0	1.3931382978723406	CFLAR	CDH11
1.0	1.385767195767196	ZMYM2	KRAS
1.0	1.3784736842105265	SMCHD1	TP53
1.0	1.371256544502618	TRIP4	SF1
1.0	1.3641145833333335	TTC21B	KRAS
1.0	1.3570466321243524	LPP	KRAS
1.0	1.3500515463917526	MYO1B	KRAS
1.0	1.3431282051282052	EPHX1	APC
1.0	1.3362755102040818	ABCB1	TP53
1.0	1.3294923857868022	HEATR1	TP53
1.0	1.3227777777777778	ATAD5	TP53
1.0	1.3161306532663317	CARD6	PRKCA
1.0	1.3095500000000002	DOCK6	TP53
1.0	1.3030348258706468	UIMC1	KRAS
1.0	1.2965841584158417	MPRIP	CDH11
1.0	1.2901970443349755	DDX58	TP53
1.0	1.283872549019608	TBC1D24	KRAS
1.0	1.277609756097561	PLK1	TP53
1.0	1.2714077669902915	GTF2F1	TP53
1.0	1.2652657004830918	ITGA7	TP53
1.0	1.2591826923076925	PLCG2	TP53
1.0	1.2531578947368422	DNMT1	CDH11
1.0	1.2471904761904764	ANTXR2	TP53
1.0	1.2412796208530807	WDR1	KRAS
1.0	1.235424528301887	NOMO1	CYP2S1
1.0	1.22962441314554	HDAC7	KRAS
1.0	1.2238785046728973	PLEKHA2	TP53
1.0	1.218186046511628	SEC24B	DACT1
1.0	1.2125462962962965	OSBP	TP53
1.0	1.2069585253456223	CYP2S1	TP53
1.0	1.201422018348624	DSTN	TP53
1.0	1.195936073059361	KIF2C	CYP2S1
1.0	1.1905000000000001	RHOA	TP53
1.0	1.1851131221719458	CDK12	TP53
1.0	1.1797747747747749	DLG3	TP53
1.0	1.1744843049327356	RANBP2	KRAS
1.0	1.1692410714285715	PRKCA	KRAS
1.0	1.1640444444444447	REV1	KRAS
1.0	1.1588938053097346	ZNF91	TP53
1.0	1.1537885462555066	CD3EAP	USP7
1.0	1.1487280701754388	PPM1D	TP53
1.0	1.1437117903930132	RIF1	KRAS
1.0	1.1387391304347827	ERN2	TP53
1.0	1.1338095238095238	NKIRAS2	TP53
1.0	1.1289224137931035	PRKD3	PRKCA
1.0	1.1240772532188843	SMARCAD1	COL18A1
1.0	1.1192735042735045	ABLIM3	FOXO4
1.0	1.1145106382978724	PRKDC	TP53
